,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
square_ngtdm_Strength,0.7420487004103968,>,0.4873072869216492,0.6752941176470588,0.6762790697674419,mann-whitney U-test,1.847726110731707e-48
log-sigma-3-mm-3D_firstorder_Skewness,0.7214095759233926,<,-0.7674385019341868,0.6595348837209303,0.6588235294117647,mann-whitney U-test,7.793901353752739e-41
exponential_glcm_Imc1,0.7143376196990425,<,-0.2445902425651485,0.6679069767441861,0.668235294117647,mann-whitney U-test,1.1330666566578285e-38
exponential_ngtdm_Strength,0.7113499316005473,>,1.0852713178294575,0.6752941176470588,0.6753488372093024,mann-whitney U-test,1.194364820683029e-37
exponential_glszm_GrayLevelNonUniformityNormalized,0.7106013679890562,<,0.3585722011898323,0.666046511627907,0.6658823529411765,mann-whitney U-test,2.1432726097030094e-37
square_firstorder_Skewness,0.7085658002735978,>,2.415240947294896,0.6658823529411765,0.6679069767441861,mann-whitney U-test,1.9839586043671015e-36
wavelet2-LL_firstorder_Skewness,0.7070664842681259,>,0.5919449061377805,0.6470588235294118,0.6483720930232558,mann-whitney U-test,6.235681569328886e-36
log-sigma-3-mm-3D_firstorder_Kurtosis,0.7066725034199727,>,4.47469037862571,0.6635294117647059,0.6604651162790698,mann-whitney U-test,8.413695520923681e-36
exponential_glszm_GrayLevelVariance,0.7041061559507524,>,1.3926530612244898,0.668235294117647,0.6679069767441861,mann-whitney U-test,3.1490286558366194e-35
original_firstorder_Skewness,0.7047616963064296,>,0.649987422420958,0.6470588235294118,0.6465116279069767,mann-whitney U-test,3.568735279878173e-35
log-sigma-2-mm-3D_firstorder_Skewness,0.7016974008207935,<,-0.8437106003114493,0.6651162790697674,0.6611764705882353,mann-whitney U-test,3.5224374383340257e-34
square_ngtdm_Busyness,0.7015890560875513,<,13.115107089540876,0.6427906976744187,0.6423529411764706,mann-whitney U-test,3.8163861948377276e-34
wavelet2-LL_ngtdm_Strength,0.7005789329685363,>,4.938921329175598,0.6447058823529411,0.6446511627906977,mann-whitney U-test,8.055391815850547e-34
exponential_firstorder_Skewness,0.6995764705882352,>,6.715491863770821,0.6635294117647059,0.6632558139534883,mann-whitney U-test,1.68420384979676e-33
exponential_glszm_HighGrayLevelZoneEmphasis,0.6985455540355677,>,5.954545454545454,0.6658823529411765,0.6669767441860466,mann-whitney U-test,1.99604082111937e-33
square_glrlm_GrayLevelNonUniformity,0.6991540355677155,<,413.2247533277707,0.6548837209302325,0.6541176470588235,mann-whitney U-test,2.2956059138698842e-33
exponential_glcm_ClusterProminence,0.6981274965800274,>,3.2491520833488607,0.6588235294117647,0.6586046511627908,mann-whitney U-test,2.7150264456895126e-33
exponential_glszm_SmallAreaHighGrayLevelEmphasis,0.6988519835841314,>,3.5984308314340407,0.6611764705882353,0.6623255813953488,mann-whitney U-test,2.8635041690575606e-33
exponential_glrlm_GrayLevelVariance,0.6973176470588235,>,0.3519819416759341,0.6564705882352941,0.6548837209302325,mann-whitney U-test,4.9156542232769334e-33
exponential_gldm_SmallDependenceHighGrayLevelEmphasis,0.6972651162790697,>,0.0563988124054637,0.6470588235294118,0.6483720930232558,mann-whitney U-test,9.09675819884931e-33
exponential_glcm_ClusterShade,0.6963764705882354,>,0.524335324213531,0.6541176470588236,0.6548837209302325,mann-whitney U-test,9.769815003619266e-33
exponential_firstorder_Maximum,0.6951332421340629,>,206.1687519027748,0.6494117647058824,0.6483720930232558,mann-whitney U-test,4.236793251208452e-32
exponential_firstorder_Range,0.6951004103967169,>,206.98144591573893,0.6494117647058824,0.650232558139535,mann-whitney U-test,4.3378155586585636e-32
exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.6948027359781122,>,0.7797298152432013,0.6494117647058824,0.6483720930232558,mann-whitney U-test,5.370072355242579e-32
original_ngtdm_Strength,0.6913575923392613,>,0.2906859748650903,0.6235294117647059,0.6213953488372093,mann-whitney U-test,6.205765913798462e-31
log-sigma-3-mm-3D_ngtdm_Strength,0.6912218878248975,>,0.0842344143119877,0.6329411764705882,0.6334883720930233,mann-whitney U-test,6.827741784201156e-31
wavelet2-LL_glcm_ClusterShade,0.6909176470588235,>,903.0829500828352,0.6376470588235295,0.6390697674418604,mann-whitney U-test,8.456116943926561e-31
exponential_gldm_GrayLevelVariance,0.6898057455540355,>,0.0416830833028957,0.6470588235294118,0.6465116279069767,mann-whitney U-test,1.0796405647179942e-30
exponential_glrlm_HighGrayLevelRunEmphasis,0.6896262653898768,>,1.7338013734686035,0.6494117647058824,0.6493023255813953,mann-whitney U-test,1.2249910063720194e-30
exponential_glcm_ClusterTendency,0.6888120383036935,>,0.1128662885855716,0.6447058823529411,0.6437209302325582,mann-whitney U-test,2.1693978186858334e-30
log-sigma-2-mm-3D_firstorder_Kurtosis,0.6890943912448702,>,5.02983446567726,0.6564705882352941,0.6548837209302325,mann-whitney U-test,3.0256012384079458e-30
exponential_glcm_SumSquares,0.6874243502051983,>,0.0403770332895569,0.6470588235294118,0.6465116279069767,mann-whitney U-test,5.713894979319246e-30
original_glcm_ClusterShade,0.6870697674418604,>,17.476903240454234,0.6352941176470588,0.6344186046511628,mann-whitney U-test,1.228754417519343e-29
square_firstorder_Kurtosis,0.6869668946648426,>,12.605479895353849,0.6611764705882353,0.6623255813953488,mann-whitney U-test,1.3189215553405318e-29
log-sigma-3-mm-3D_ngtdm_Busyness,0.6861242134062928,<,7.293722076931458,0.6297674418604651,0.628235294117647,mann-whitney U-test,2.3524032020321348e-29
wavelet2-LL_firstorder_Kurtosis,0.6858177838577292,>,4.016384648883003,0.6470588235294118,0.6446511627906977,mann-whitney U-test,2.9014412572587803e-29
square_glszm_GrayLevelVariance,0.6848459644322845,>,2.9337395213628987,0.6329411764705882,0.6325581395348837,mann-whitney U-test,5.629819619029221e-29
exponential_firstorder_Kurtosis,0.684681805745554,>,78.3431206271065,0.6541176470588236,0.6548837209302325,mann-whitney U-test,6.295819340477349e-29
exponential_glcm_DifferenceVariance,0.6824580027359782,>,0.0426308880786568,0.6376470588235295,0.64,mann-whitney U-test,1.7263786030300613e-28
exponential_gldm_HighGrayLevelEmphasis,0.6820180574555403,>,1.0802582290587392,0.6376470588235295,0.6372093023255814,mann-whitney U-test,2.324733634485684e-28
exponential_glszm_LargeAreaHighGrayLevelEmphasis,0.6823595075239397,<,48211.68421052631,0.6232558139534884,0.6235294117647059,mann-whitney U-test,3.023555711480377e-28
exponential_glszm_LargeAreaEmphasis,0.6823419972640219,<,48194.78947368421,0.6232558139534884,0.6235294117647059,mann-whitney U-test,3.059313779128246e-28
exponential_glszm_LargeAreaLowGrayLevelEmphasis,0.6823288645690835,<,48190.56578947369,0.6232558139534884,0.6235294117647059,mann-whitney U-test,3.086407330127877e-28
exponential_glcm_Contrast,0.6815299589603283,>,0.0431764946351948,0.6376470588235295,0.6390697674418604,mann-whitney U-test,3.231442056717992e-28
original_firstorder_Kurtosis,0.6822456908344733,>,4.220430698903398,0.6541176470588236,0.6548837209302325,mann-whitney U-test,3.2636130313665777e-28
square_glcm_MCC,0.6820738714090288,>,0.7351852390676804,0.6282352941176471,0.6297674418604651,mann-whitney U-test,3.6617394143173716e-28
