,val_auc,val_auc,val_auc,val_auc,val_auc,val_f1_binary,val_f1_binary,val_f1_binary,val_f1_binary,val_f1_binary,val_accuracy,val_accuracy,val_accuracy,val_accuracy,val_accuracy,val_balanced_accuracy,val_balanced_accuracy,val_balanced_accuracy,val_balanced_accuracy,val_balanced_accuracy,val_specificity,val_specificity,val_specificity,val_specificity,val_specificity,val_sensitivity,val_sensitivity,val_sensitivity,val_sensitivity,val_sensitivity
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base-densenet,0.7830863783339961,0.023012024090643905,0.7564935064935066,0.815086782376502,0.777418659771601,0.5585724815021903,0.06256371264633385,0.4477611940298507,0.5964912280701754,0.5806451612903226,0.7532381826047461,0.020036579105004164,0.7290969899665551,0.7770491803278688,0.7533333333333333,0.6956562119288893,0.036244662612413533,0.6322751322751323,0.7194592790387182,0.705936220642103,0.8273806693377888,0.06377069884002032,0.7429906542056075,0.9074074074074074,0.8317757009345794,0.5639317545199898,0.1268008937846207,0.3571428571428571,0.6941176470588235,0.6071428571428571
base-efficientnet,0.6898610858969114,0.02289006310563679,0.6612798965740142,0.7148368606701939,0.6995438362260793,0.4178795627393761,0.022095301257065752,0.3941605839416058,0.4444444444444444,0.4099378881987577,0.7113967917655126,0.024800144343169402,0.6812080536912751,0.7333333333333333,0.7214765100671141,0.607298812807334,0.012424373025381122,0.5922619047619048,0.6251511819681144,0.607473544973545,0.8476368413009425,0.048476388634288804,0.7828054298642534,0.8935185185185185,0.8738317757009346,0.3669607843137255,0.049259377592361264,0.3214285714285714,0.4404761904761904,0.375
base-efficientnet-b7,0.7325078404125958,0.04162806571699594,0.6689393939393938,0.7848268279274326,0.7385912698412698,0.3354817287131243,0.25281505747033195,0.0465116279069767,0.5982905982905983,0.4353741496598639,0.6978429301814474,0.03930832313719624,0.6342281879194631,0.7278688524590164,0.7166666666666667,0.6019630545578869,0.09150043442758551,0.5119047619047619,0.7271852666300165,0.6203404438698557,0.8191985817411875,0.18097211497984142,0.6285714285714286,1.0,0.8597285067873304,0.38472752737458615,0.3555397811605924,0.0238095238095238,0.8235294117647058,0.3809523809523809
base-efficientnet-b8,0.7252106325081403,0.027523315469003856,0.6855742296918768,0.7585497835497835,0.7313084112149534,0.3639992228510252,0.1483814395240125,0.1632653061224489,0.5174825174825175,0.3636363636363636,0.6753357798448711,0.08461195884827646,0.5369127516778524,0.7424749163879598,0.72,0.5966776293769147,0.04444564551203067,0.5406926406926407,0.6421029950441715,0.5873015873015872,0.7827364657820952,0.24868079312788807,0.4018691588785046,0.9904761904761904,0.8888888888888888,0.41061879297173415,0.33064220496997515,0.0909090909090909,0.8809523809523809,0.2857142857142857
base-resnet,0.7708432952135994,0.018647325702131252,0.7479978354978355,0.7929631665750412,0.7735940530058177,0.5239221755069756,0.07621491681334407,0.4098360655737705,0.591304347826087,0.5443037974683544,0.7247504561911178,0.03489685627680989,0.6879194630872483,0.76,0.7248322147651006,0.6784297714176769,0.047007383972550144,0.6190214403518417,0.7282913165266107,0.6841931216931216,0.787971078358654,0.13327537214397236,0.6470588235294118,0.9439252336448598,0.8428571428571429,0.5688884644766998,0.2233087052867043,0.2941176470588235,0.8095238095238095,0.5119047619047619
base-vit,0.613950845415249,0.023307237007206636,0.5775478415665332,0.6400769653655854,0.6203703703703705,0.2676914916944723,0.24444372770067516,0.0,0.4559585492227979,0.4397905759162304,0.46121046168859337,0.23839581904075907,0.2818791946308724,0.7245901639344262,0.2953020134228188,0.5,0.0,0.5,0.5,0.5,0.4,0.5477225575051661,0.0,1.0,0.0,0.6,0.5477225575051661,0.0,1.0,1.0
config1,0.8109266367798986,0.0176989041654904,0.7894480519480519,0.8302736982643525,0.8129741616272677,0.5839151718347818,0.05424486049959195,0.5194805194805194,0.6358381502890174,0.6108374384236454,0.7260131703912002,0.09557556803635003,0.5606557377049181,0.7919463087248322,0.7516778523489933,0.7102074946412495,0.04045311199114804,0.6653679653679654,0.7486772486772486,0.7338647608576141,0.7502902120988982,0.18723475528165387,0.4298642533936652,0.8761904761904762,0.8425925925925926,0.6701247771836008,0.16526245261541592,0.4545454545454545,0.9047619047619048,0.6547619047619048
config2,0.7799836515028012,0.01911702175425311,0.7588203463203463,0.8036283672347444,0.7852692478860703,0.5746079060338244,0.026297407451080494,0.5370370370370371,0.6027397260273972,0.5702479338842975,0.6772657504452747,0.02447964278901183,0.6521739130434783,0.7080536912751678,0.6666666666666666,0.7051159660285553,0.026447384019040936,0.673941798941799,0.7328162034044388,0.7002748763056624,0.640736133737783,0.03484397421006625,0.5887850467289719,0.677570093457944,0.6561085972850679,0.7694957983193278,0.05068561466710552,0.6904761904761905,0.8117647058823529,0.7857142857142857
config3,0.67656576404595,0.05813801099491875,0.623208774250441,0.7696929238985314,0.6748488180318857,0.3084444234969063,0.2848912437730608,0.0,0.5781990521327014,0.4559585492227979,0.6064726717694328,0.18075711976936257,0.2953020134228188,0.72,0.7013422818791947,0.5710765686576572,0.0997944713868559,0.5,0.7088896306186026,0.5,0.6469150420772192,0.41250271131726624,0.0,1.0,0.6915887850467289,0.49523809523809526,0.46463661953037755,0.0,1.0,0.7261904761904762
